Active_Cases,Country,Last_Update,New_Cases,New_Deaths,Total_Cases,Total_Deaths,Total_Recovered
17168639.0,Cambodia,,3056.0,8102.0,139103.0,136044.0,178.0
13600464.0,Rwanda,,1468.0,9817.0,133518.0,132039.0,108.0
27911548.0,Cameroon,,1974.0,4492.0,125379.0,123280.0,71.0
444033.0,Malta,,885.0,273448.0,121420.0,120149.0,1993.0
288023.0,Barbados,,648.0,383921.0,110578.0,108647.0,2250.0
35027343.0,Angola,,1937.0,3064.0,107327.0,103419.0,55.0
176463.0,Channel Islands,,228.0,576421.0,101717.0,101321.0,1292.0
95240792.0,DRC,,1468.0,1043.0,99338.0,84489.0,15.0
314169.0,French Guiana,,420.0,312065.0,98041.0,11254.0,1337.0
20180839.0,Malawi,,2686.0,4437.0,89535.0,,133.0
17653671.0,Senegal,,1971.0,5044.0,89053.0,87024.0,112.0
27742298.0,Ivory Coast,,835.0,3186.0,88384.0,87497.0,30.0
596831.0,Suriname,,1408.0,138378.0,82588.0,,2359.0
290915.0,New Caledonia,,314.0,275214.0,80064.0,,1079.0
284164.0,French Polynesia,,650.0,278902.0,79254.0,,2287.0
1184817.0,Eswatini,,1427.0,63462.0,75191.0,73116.0,1204.0
794045.0,Guyana,,1300.0,93366.0,74137.0,72013.0,1637.0
412190.0,Belize,,688.0,173243.0,71409.0,,1669.0
909466.0,Fiji,,885.0,75997.0,69117.0,67226.0,973.0
29178077.0,Madagascar,,1426.0,2347.0,68486.0,66862.0,49.0
567678.0,Cabo Verde,,417.0,113580.0,64477.0,63755.0,735.0
45992020.0,Sudan,,5046.0,1391.0,63993.0,58947.0,110.0
4901981.0,Mauritania,,997.0,13025.0,63848.0,62471.0,203.0
787941.0,Bhutan,,21.0,79571.0,62697.0,61564.0,27.0
19364809.0,Syria,,3165.0,2982.0,57743.0,54578.0,163.0
12624840.0,Burundi,,38.0,4334.0,54721.0,53569.0,3.0
99426.0,Seychelles,2025-03-22 23:42:00,172.0,515157.0,51220.0,51048.0,1730.0
2331533.0,Gabon,,307.0,21038.0,49051.0,48674.0,132.0
77463.0,Andorra,,165.0,619844.0,48015.0,,2130.0
9292169.0,Papua New Guinea,,670.0,5043.0,46864.0,46168.0,72.0
165529.0,Curaçao,,295.0,277812.0,45986.0,44720.0,1782.0
107609.0,Aruba,,292.0,410969.0,44224.0,42438.0,2714.0
63298550.0,Tanzania,,846.0,683.0,43223.0,,13.0
1274727.0,Mauritius,2025-03-23 06:44:00,1051.0,33752.0,43025.0,41278.0,824.0
286259.0,Mayotte,,188.0,146815.0,42027.0,,657.0
8680837.0,Togo,,290.0,4559.0,39572.0,39281.0,33.0
13865691.0,Guinea,,468.0,2782.0,38572.0,37757.0,34.0
400516.0,Bahamas,,844.0,95087.0,38084.0,36366.0,2107.0
85732.0,Isle of Man,,116.0,443335.0,38008.0,,1353.0
2175699.0,Lesotho,,723.0,16610.0,36138.0,25980.0,332.0
11680283.0,Haiti,,860.0,2968.0,34667.0,33734.0,74.0
